player,team,games,mp,ws48,mpg
Sidy Cissoko,2TM,22,114,-0.045,5.181818181818182
Tony Bradley,IND,14,113,0.187,8.071428571428571
Jaylen Sims,CHO,6,112,0.048,18.666666666666668
Pacome Dadiet,NYK,18,111,0.002,6.166666666666667
Patrick Baldwin Jr.,2TM,24,107,0.098,4.458333333333333
Chris Livingston,MIL,21,106,0.035,5.0476190476190474
Jae Crowder,SAC,9,103,0.026,11.444444444444445
Justin Minaya,POR,19,101,-0.007,5.315789473684211
Keshad Johnson,MIA,16,98,0.181,6.125
Yuki Kawamura,MEM,22,93,0.095,4.2272727272727275
JD Davison,BOS,16,93,-0.081,5.8125
Luke Travers,CLE,12,88,-0.082,7.333333333333333
Stanley Umude,MIL,22,86,-0.086,3.909090909090909
Kevin Knox,GSW,14,84,0.121,6.0
Isaiah Jackson,IND,5,84,0.153,16.8
Marcus Garrett,CHO,4,79,-0.002,19.75
Jacob Toppin,2TM,17,76,0.03,4.470588235294118
Emoni Bates,CLE,10,75,0.038,7.5
Taylor Hendricks,UTA,3,75,-0.008,25.0
Chris Duarte,CHI,17,74,0.171,4.352941176470588
Daeqwon Plowden,ATL,6,72,0.125,12.0
RayJ Dennis,IND,11,70,0.036,6.363636363636363
Josh Christopher,MIA,14,69,-0.073,4.928571428571429
Matt Ryan,NYK,19,68,-0.057,3.5789473684210527
Armel Traor̩,LAL,9,67,-0.092,7.444444444444445
PJ Hall,DEN,19,66,0.168,3.473684210526316
Nae'Qwan Tomlin,CLE,5,63,0.093,12.6
Jamaree Bouyea,MIL,5,62,0.007,12.4
Cam Christie,LAC,13,59,-0.005,4.538461538461538
P.J. Tucker,NYK,3,58,0.07,19.333333333333332
Jazian Gortman,DAL,16,57,-0.056,3.5625
Liam Robbins,MIL,13,57,-0.066,4.384615384615385
E.J. Liddell,CHI,12,53,0.108,4.416666666666667
Jackson Rowe,GSW,6,52,0.153,8.666666666666666
N'Faly Dante,HOU,4,51,0.283,12.75
Isaiah Crawford,SAC,15,46,0.037,3.066666666666667
Mason Jones,SAC,10,45,0.198,4.5
Phillip Wheeler,PHI,5,44,-0.283,8.8
Malachi Flynn,CHO,4,44,0.043,11.0
Jack McVeigh,HOU,9,43,-0.031,4.777777777777778
Bobi Klintman,DET,8,42,0.208,5.25
James Johnson,IND,12,37,-0.162,3.0833333333333335
PJ Dozier,MIN,9,35,0.107,3.888888888888889
Harrison Ingram,SAS,5,35,0.093,7.0
Miles Norris,BOS,3,35,0.049,11.666666666666666
David Duke Jr.,SAS,6,34,0.023,5.666666666666667
D.J. Carton,TOR,4,33,-0.199,8.25
Bryce McGowens,POR,13,32,-0.172,2.4615384615384617
Leonard Miller,MIN,13,32,0.145,2.4615384615384617
Ulrich Chomche,TOR,7,32,0.001,4.571428571428571
Jalen Bridges,PHO,8,30,-0.178,3.75
Jahmir Young,CHI,6,30,0.22,5.0
Kevin McCullar Jr.,NYK,4,29,0.06,7.25
Trentyn Flowers,LAC,6,27,-0.033,4.5
Emanuel Miller,CHI,6,25,0.201,4.166666666666667
Daniss Jenkins,DET,7,23,-0.15,3.2857142857142856
Anton Watson,NYK,9,22,-0.07,2.4444444444444446
Tolu Smith,DET,1,22,0.128,22.0
Malevy Leons,OKC,6,21,-0.052,3.5
Adama Sanogo,CHI,4,21,0.105,5.25
Taze Moore,POR,2,20,-0.15,10.0
Ron Harper Jr.,DET,1,17,-0.06,17.0
Isaiah Mobley,PHI,1,17,0.119,17.0
Yuri Collins,GSW,2,16,0.214,8.0
Tristen Newton,2TM,8,16,-0.33,2.0
Daishen Nix,MIN,3,13,-0.327,4.333333333333333
Skal Labissi̬re,SAC,4,12,0.165,3.0
Braxton Key,GSW,3,11,-0.259,3.6666666666666665
Cui Yongxi,BRK,5,10,-0.473,2.0
Mac McClung,ORL,2,10,-0.047,5.0
Quincy Olivari,LAL,2,10,-0.3,5.0
Terence Davis,SAC,1,8,-0.191,8.0
Jalen McDaniels,WAS,4,7,0.114,1.75
Riley Minix,SAS,1,7,-0.114,7.0
Isaiah Stevens,MIA,3,6,-0.196,2.0
Terry Taylor,SAC,3,6,0.049,2.0
Jesse Edwards,MIN,2,5,0.111,2.5
James Wiseman,IND,1,5,0.237,5.0
Alondes Williams,DET,1,4,0.565,4.0
Zyon Pullin,MEM,3,3,-0.304,1.0
Jahlil Okafor,IND,1,3,0.196,3.0
